Date,Region,AveragePrice,Index,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice,GVA (millions),Population,dist_from_lon,dist_from_lon_index,Unemployment,Population_nom,Claim_count,Unemployment_rate,GDP_per_cap,Inflation_index,Inflation,M4_growth,M4_supply,Yield_slope_r,Yield_slope_blc,Yield_slope,Local_pshs,Local_pshs_monthly,Regional_PSHS,Outstanding_perc,Good_perc,Inad_perc,2yr_95ltv,5yr_95ltv,2yr_90ltv,2yr_75ltv,3yr_75_ltv,5yr_75ltv,2yr-60ltv,2yr_85ltv,2yr_75ltvbtl,Migrant_inflow,Migrant_outflow,Net_immigration,Non_UK_born,Migrant_inflow_monthly,Migrant_outflow_monthly,Net_immigration_monthly,Cur_def_perc_gdp,Budget_deficit,Bank_rate,Bank_rate_change_indicator,Regional_population,LFS_population,LFS_active,LFS_employed,LFS_unemployed,LFS_active_perc,LFS_unemployed_perc,Quarter_indicator,GVA_diff,Nationwide_average_hprice_region,Nationwide_index_region
1997-09-30,East Midlands,122725.5626139316,76.27826474393164,18164.0,178209.41486726498,112253.91490239315,91503.76731461537,75997.4515408547,71481.66666666667,3832126.666666666,159840.00461783828,17.100195325759426,77393.21212121213,3693100.0,92436.66666666667,0.018581320694819166,17486.16424003534,625.0,0.0037985779916471043,1.0,638.4912437170615,-0.2450918960197157,-0.26263595889378,-0.2450918960197157,,,3320.0,21.946153846153845,52.63589743589743,5.0307692307692315,7.1699999999999955,7.94333333333333,,7.143333333333337,7.67666666666667,7.82666666666666,,,,38198.0,15301.5,22896.5,536000.0,9549.5,3825.375,5724.125,0.10000000000000006,20.070000000000014,6.833333333333337,0.0,1107553570.0,2604666.666666668,2019666.6666666667,1917333.3333333337,102000.0,0.7754029678244903,0.050502048913202695,3,1272.0,54795.8661175898,54795.8661175898
1997-12-31,East Midlands,123210.64565111115,76.08190744128204,18489.0,177826.37974743592,112449.35169230767,91892.50004846154,76100.6053082051,71683.66666666667,3834281.333333333,159840.00461783828,17.100195325759426,77393.21212121213,3693100.0,80781.66666666669,0.016371473578770664,17542.74996442738,630.0000000000001,0.001483366148101073,2.0,648.9695104046577,-0.669891370803467,-0.7464691888211907,-0.669891370803467,,,3006.923076923077,21.946153846153845,52.63589743589743,5.0307692307692315,7.16333333333333,7.586666666666668,,7.0800000000000045,7.416666666666665,7.4066666666666645,,,,34868.66666666667,13978.5,20890.166666666664,513333.3333333334,8717.166666666668,3494.625,5222.541666666666,-0.8000000000000005,20.070000000000014,7.125,0.0,1107553570.0,2607000.0,2031666.6666666667,1927333.3333333337,104333.33333333339,0.779311988700745,0.05135414277949719,4,181.0,54305.41816420767,54305.41816420767
1998-03-31,East Midlands,121879.71415162392,74.98843407051284,17784.0,175976.766458547,111111.53043538463,90992.157555812,75091.59289504273,63184.33333333333,3517668.0,159840.00461783828,17.100195325759426,72714.625,3368300.0,85241.66666666664,0.016839058377081228,17313.439956037255,632.0,0.001693270268336286,2.700000000000002,667.5006248185239,-0.8568421366214947,-0.9863170221313643,-0.8568421366214947,,,3782.9059829059825,21.946153846153845,52.63589743589743,5.0307692307692315,7.3033333333333355,7.353333333333333,,7.076666666666661,7.279999999999998,7.17333333333334,,,,33125.83333333333,13301.166666666666,19824.666666666664,501000.0,8281.458333333332,3325.2916666666665,4956.166666666666,-1.5,2.4800000000000004,7.25,0.0,1107553570.0,2609000.0,2040000.0,1935333.3333333337,104666.66666666661,0.7819088049382642,0.05130759815710411,1,611.0,54705.36517722501,54705.36517722501
1998-06-30,East Midlands,120720.07040786327,73.97660551282054,17377.0,174616.74053042734,110237.51490341882,90323.58448470086,74728.99932059826,61120.66666666667,3383831.6666666665,159840.00461783828,17.100195325759426,72581.41935483871,3229600.0,78571.66666666666,0.015160654557858986,17362.65992736795,643.7000000000005,0.00534249490806974,1.600000000000001,679.5434111549728,-1.1727328812108746,-1.2430819691794124,-1.1727328812108746,,,3670.0,21.946153846153845,52.63589743589743,5.0307692307692315,7.289999999999996,6.933333333333335,,7.066666666666665,7.04333333333333,6.800000000000004,,,,32969.5,13269.5,19700.0,499000.0,8242.375,3317.375,4925.0,-1.600000000000001,2.4800000000000004,7.291666666666665,0.0,1107553570.0,2611666.666666668,2057333.3333333333,1953000.0,104333.33333333339,0.7877469344397445,0.05070863138538638,2,-278.0,56167.56446377766,56167.56446377766
1998-09-30,East Midlands,109370.36608692307,67.62374005410256,17234.0,157652.1791033333,99646.11158794873,81923.34582410257,68566.01092641025,56822.0,3100068.666666667,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,79484.99999999999,0.015556666709659064,17451.78457351219,645.7999999999995,0.0020693786800143332,2.099999999999999,692.9744285626875,-1.4361311626693838,-1.1701258681590951,-1.4361311626693838,,,4040.0,21.946153846153845,52.63589743589743,5.0307692307692315,7.463333333333333,7.08666666666667,,7.226666666666663,7.233333333333328,6.970000000000001,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,0.5,2.4800000000000004,7.5,0.0,1107553570.0,2615000.0,2044000.0,1937000.0,107000.0,0.7816447281043936,0.052346520230770695,3,1333.0,56819.49108910829,56819.49108910829
1998-12-31,East Midlands,109974.58712025642,68.11302846658121,18883.0,158294.3841623077,100214.62259205128,82580.86700854702,68718.30657632479,57042.666666666664,3102096.6666666665,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,74926.66666666666,0.014509109764217923,17551.863356534643,648.7333333333335,1.2670013764074878e-07,0.8999999999999994,702.0135906783152,-0.9149948971074651,-0.5009020787610015,-0.9149948971074651,,,3250.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.789999999999998,6.683333333333335,,6.663333333333329,6.613333333333337,6.509999999999997,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-0.10000000000000006,2.4800000000000004,6.958333333333337,0.0,1107553570.0,2618666.666666668,2048333.3333333333,1944666.6666666663,103666.66666666661,0.7822029496690559,0.050602996589561404,4,127.0,56484.56160036947,56484.56160036947
1999-03-31,East Midlands,111995.42694376067,69.26886834863248,19727.0,160969.26963974358,102019.02120700854,84199.91140299145,69667.82198786325,59422.666666666664,3289777.666666667,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,82673.33333333334,0.016195788269538547,17224.589534847953,645.9333333333341,-0.0006093207880176381,2.4000000000000012,715.1960783867507,-0.44168709428163666,-0.1160901981446004,-0.44168709428163666,,,3600.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.933333333333336,5.993333333333338,,5.773333333333339,5.966666666666668,5.800000000000004,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-3.099999999999998,-9.009999999999994,5.791666666666663,0.0,1107553570.0,2622666.666666668,2059000.0,1950666.6666666663,108333.33333333339,0.7850805287695659,0.05261647034178312,1,621.0,57854.36254921007,57854.36254921007
1999-06-30,East Midlands,113625.13886538461,70.15892037675216,19720.0,163426.96042230772,103487.64812863249,85372.53991324788,70337.89092957265,59955.99999999999,3295608.9999999995,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,76561.66666666667,0.015119376276081616,17364.280152292555,652.7666666666665,0.0030323566034616447,2.0,728.8551922100667,-0.01188114549982504,0.2574190100753128,-0.01188114549982504,,,3980.0,21.946153846153845,52.63589743589743,5.0307692307692315,5.949999999999996,6.120000000000003,,5.773333333333339,5.710000000000006,6.050000000000004,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.4000000000000012,-9.009999999999994,5.25,0.0,1107553570.0,2626000.0,2051666.6666666667,1940333.3333333337,111666.66666666661,0.7812893562680197,0.05442595943369893,2,216.0,59931.35896415266,59931.35896415266
1999-09-30,East Midlands,114136.609598547,70.46961051897436,19250.0,164080.08249213677,103986.41292102564,85720.87917982905,70536.88619717947,64829.333333333336,3628820.3333333335,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,74615.00000000001,0.014789463906339314,16897.937161277754,653.2999999999995,0.0012279344221222486,1.2999999999999992,740.3114254370058,-0.018376803666627417,0.3594821085906968,-0.018376803666627417,,,3570.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.326666666666661,6.599999999999996,,6.136666666666662,6.319999999999995,6.5366666666666635,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.700000000000002,-9.009999999999994,5.041666666666664,0.0,1107553570.0,2629000.0,2060666.6666666667,1944666.6666666663,115666.66666666661,0.7838214575794284,0.05613094098104822,3,1171.0,61412.90059705585,61412.90059705585
1999-12-31,East Midlands,115527.11834982906,71.34781992358977,20466.0,165937.441435641,105210.64548555552,86900.98861512824,71219.29910222223,70192.33333333333,3908758.333333333,159840.00461783828,17.100195325759426,73791.53571428571,2930900.0,68336.66666666669,0.01396934632298958,17038.13137300536,658.1333333333339,0.002181752764960725,2.700000000000002,757.4724739408847,-0.7124588356142817,-0.09797634349507635,-0.7124588356142817,,,3670.0,21.946153846153845,52.63589743589743,5.0307692307692315,6.800000000000004,7.096666666666666,,6.539999999999994,6.876666666666667,6.91333333333333,,,,32963.5,13323.5,19640.0,501000.0,8240.875,3330.875,4910.0,-2.299999999999998,-9.009999999999994,5.375,0.0,1107553570.0,2632000.0,2072000.0,1959000.0,113333.33333333339,0.7872344550840973,0.05469515114049915,4,248.0,62103.12316606854,62103.12316606854
