Date,Region,AveragePrice,Index,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice,GVA (millions),Population,dist_from_lon,dist_from_lon_index,Unemployment,Population_nom,Claim_count,Unemployment_rate,GDP_per_cap,Inflation_index,Inflation,M4_growth,M4_supply,Yield_slope_r,Yield_slope_blc,Yield_slope,Local_pshs,Local_pshs_monthly,Regional_PSHS,Outstanding_perc,Good_perc,Inad_perc,2yr_95ltv,5yr_95ltv,2yr_90ltv,2yr_75ltv,3yr_75_ltv,5yr_75ltv,2yr-60ltv,2yr_85ltv,2yr_75ltvbtl,Migrant_inflow,Migrant_outflow,Net_immigration,Non_UK_born,Migrant_inflow_monthly,Migrant_outflow_monthly,Net_immigration_monthly,Cur_def_perc_gdp,Budget_deficit,Bank_rate,Bank_rate_change_indicator,Regional_population,LFS_population,LFS_active,LFS_employed,LFS_unemployed,LFS_active_perc,LFS_unemployed_perc,Quarter_indicator,GVA_diff
2016-03-01,Wales,98272.28217272727,72.57124067136363,4245.0,147299.68189045452,93055.2945759091,75362.16461090912,61337.07485181818,41631.0,2739923.0,255356.1582878378,27.318819182955952,87016.25,2822100.0,46070.0,0.014711819086484588,14145.82932789516,1030.0,0.004192258945110661,,,,,,,,1370.4545454545455,,,,3.9200000000000013,4.6800000000000015,2.869999999999999,1.8999999999999992,2.14,2.700000000000001,1.6200000000000003,2.1700000000000013,3.189999999999999,15868.5,8693.0,7175.5,173000.0,1322.3749999999998,724.4166666666667,597.9583333333334,-6.200000000000002,38.899999999999984,0.5,0.0,747722852.0,1903000.0,1448000.0,1381000.0,67000.0,0.7609038360483446,0.0462707182320442,1.0,0.0
2016-04-01,Wales,98938.62301727272,73.0528062940909,4318.0,148434.8290918182,93783.76267863635,75850.84422636362,61722.788776363624,41631.0,2739923.0,255356.1582878378,27.318819182955952,87016.25,2822100.0,44945.0,0.01428206853372568,14145.82932789516,1031.2000000000005,0.0011650485436893732,,,,,,,,1370.4545454545455,,,,3.9200000000000013,4.709999999999997,2.7100000000000004,1.8400000000000007,2.1300000000000003,2.7100000000000004,1.6700000000000008,2.1700000000000013,3.2099999999999995,15868.5,8693.0,7175.5,173000.0,1322.3749999999998,724.4166666666667,597.9583333333334,-5.599999999999998,38.899999999999984,0.5,0.0,747722852.0,1903000.0,1437000.0,1373000.0,64000.0,0.7551234892275357,0.04453723034098819,2.0,0.0
2016-05-01,Wales,98836.23355318182,72.91646329590908,4226.0,148420.24384363636,93658.43304363637,75677.55355727272,61637.61216681819,41629.0,2740352.0,255356.1582878378,27.318819182955952,87016.25,2822100.0,43920.0,0.013929533607624639,14142.428411269075,1034.0,0.0027152831652443865,,,,,,,,1370.4545454545455,,,,3.9300000000000015,4.6800000000000015,2.75,1.9099999999999993,2.1199999999999997,2.64,1.7,2.18,3.2099999999999995,15868.5,8693.0,7175.5,173000.0,1322.3749999999998,724.4166666666667,597.9583333333334,-5.599999999999998,38.899999999999984,0.5,0.0,747722852.0,1902000.0,1453000.0,1391000.0,61000.0,0.7639327024185065,0.041982105987611845,2.0,-2.0
2016-06-01,Wales,99283.82281545455,73.36053552181819,4215.0,149002.26169136364,94074.43564409093,75999.09066954548,61983.12275818182,41629.0,2740352.0,255356.1582878378,27.318819182955952,87016.25,2822100.0,42710.0,0.01350518927059631,14142.428411269075,1037.9000000000003,0.0037717601547389012,,,,,,,,1370.4545454545455,,,,3.8799999999999994,4.650000000000002,2.64,1.75,2.1300000000000003,2.5399999999999996,1.7100000000000006,1.99,3.149999999999999,15868.5,8693.0,7175.5,173000.0,1322.3749999999998,724.4166666666667,597.9583333333334,-5.599999999999998,38.899999999999984,0.5,0.0,747722852.0,1902000.0,1460000.0,1396000.0,64000.0,0.7676130389064145,0.04383561643835618,2.0,0.0
2016-07-01,Wales,94015.27599590908,70.18186800272728,3672.0,142279.25043999997,89475.5390859091,72315.79304136365,59837.397560000005,40176.0,2613700.0,255356.1582878378,27.318819182955952,87587.36842105263,2689800.0,42520.0,0.01383041474150078,14226.947064137055,1039.0999999999997,0.001156180749590341,,,,,,,,1390.4545454545455,,,,3.8499999999999996,4.650000000000002,2.57,1.7199999999999995,2.0900000000000007,2.5099999999999985,1.7299999999999998,1.8999999999999992,3.130000000000001,15821.5,8589.0,7232.5,173000.0,1318.458333333333,715.7500000000001,602.7083333333334,-6.8,38.899999999999984,0.5,0.0,747722852.0,1902000.0,1455000.0,1389000.0,66000.0,0.7649842271293376,0.04536082474226802,3.0,798.0
2016-08-01,Wales,94676.477445,70.70963729136362,3743.0,143278.4191227273,90179.6277868182,72843.51428045455,60356.882401818184,40176.0,2613700.0,255356.1582878378,27.318819182955952,87587.36842105263,2689800.0,43030.0,0.013942752864923729,14226.947064137055,1043.0999999999997,0.003849485131363739,,,,,,,,1390.4545454545455,,,,3.8799999999999994,4.64,2.549999999999999,1.69,2.020000000000001,2.39,1.59,1.920000000000001,3.149999999999999,15821.5,8589.0,7232.5,173000.0,1318.458333333333,715.7500000000001,602.7083333333334,-6.8,38.899999999999984,0.375,0.0,747722852.0,1901000.0,1451000.0,1387000.0,65000.0,0.7632824829037349,0.04479669193659544,3.0,0.0
2016-09-01,Wales,94722.74271681817,70.65877429727274,3715.0,143576.9711272727,90262.26382772729,72914.47255909091,60324.66304136364,40310.0,2614635.0,255356.1582878378,27.318819182955952,87587.36842105263,2689800.0,42395.0,0.013741937292880676,14295.425957424333,1045.0,0.0018214936247724633,,,,,,,,1390.4545454545455,,,,3.840000000000002,4.620000000000001,2.4200000000000013,1.59,1.920000000000001,2.3400000000000007,1.4499999999999995,1.8500000000000008,2.9699999999999993,15821.5,8589.0,7232.5,173000.0,1318.458333333333,715.7500000000001,602.7083333333334,-6.8,38.899999999999984,0.25,0.0,747722852.0,1901000.0,1442000.0,1377000.0,66000.0,0.7585481325618096,0.045769764216366145,3.0,134.0
2016-10-01,Wales,95018.8639959091,70.90335742136364,3782.0,143777.03351863634,90518.46806045454,73193.59367954545,60503.260654090904,40310.0,2614635.0,255356.1582878378,27.318819182955952,87587.36842105263,2689800.0,41390.0,0.0134630646678412,14295.425957424333,1044.5999999999997,-0.0003827751196172624,,,,,,,,1390.4545454545455,,,,3.7299999999999995,4.560000000000001,2.4200000000000013,1.5199999999999998,1.829999999999999,2.270000000000001,1.3799999999999992,1.829999999999999,2.9799999999999986,15821.5,8589.0,7232.5,173000.0,1318.458333333333,715.7500000000001,602.7083333333334,-4.599999999999998,38.899999999999984,0.25,0.0,747722852.0,1901000.0,1448000.0,1381000.0,67000.0,0.7617043661230928,0.0462707182320442,4.0,0.0
2016-11-01,Wales,92064.36922909092,67.53073115318182,3989.0,138612.56474181818,87338.50511227275,70885.49495545456,59211.30128136365,39778.0,2557626.0,255356.1582878378,27.318819182955952,90363.55555555556,2630100.0,40595.0,0.013085731537393569,14354.08834620784,1047.4000000000003,0.0026804518475973538,,,,,,,,1442.2727272727273,,,,3.659999999999998,4.599999999999998,2.4900000000000015,1.43,1.7899999999999994,2.25,1.32,1.7399999999999998,2.93,15708.5,8561.0,7147.5,173000.0,1309.0416666666663,713.4166666666666,595.625,-4.599999999999998,38.899999999999984,0.25,0.0,747722852.0,1901000.0,1459000.0,1392000.0,66000.0,0.7674907943187796,0.045236463331048686,4.0,383.0
2016-12-01,Wales,93225.20523318181,68.48933887454544,4051.0,140168.36805545454,88540.54997181817,71821.59045636361,59932.6113390909,39778.0,2557626.0,255356.1582878378,27.318819182955952,90363.55555555556,2630100.0,39720.0,0.012884690010892173,14354.08834620784,1053.7000000000005,0.006014894023295803,,,,,,,,1442.2727272727273,,,,3.62,4.599999999999998,2.5300000000000007,1.4499999999999995,1.7899999999999994,2.2599999999999985,1.3500000000000005,1.75,2.86,15708.5,8561.0,7147.5,173000.0,1309.0416666666663,713.4166666666666,595.625,-4.599999999999998,38.899999999999984,0.25,0.0,747722852.0,1900000.0,1462000.0,1388000.0,73000.0,0.7694736842105262,0.049931600547195615,4.0,0.0
